Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Wrap,PlatPrepare,Commun,Unitaire,200,100,267.0,7.9,41.4,6.3,2.9,0
Yacon,Feculent,Très rare,Unitaire,34,50,54.0,0.0,12.8,0.1,1.9,35
Yam,Feculent,Très rare,,5,100,118.0,1.5,27.9,0.2,4.1,55
Yaourt à boire ,Laitage,Commun,Unitaire,100,100,68.0,3.3,9.8,1.2,0.0,35
Yaourt grec,Laitage,Commun,Unitaire,193,100,59.0,10.0,3.6,0.4,0.0,35
Yaourt nature,Laitage,Commun,Unitaire,2,100,61.0,3.5,4.7,3.3,0.0,35
Zélande,Crustace,Très rare,,330,100,111.0,20.5,5.1,2.0,0.0,0
Fraise Tagada,Confiserie,Commun,Petit,5,100,380,4,88,0,0,0
Ferrero Rocher,Confiserie,Commun,Petit,15,100,603,8,40,46,0,0
Lasagne bolognaise,PlatPrepare,Commun,,100,100,135,7,14,6,2,0
Hachis parmentier,PlatPrepare,Commun,,100,100,140,7,13,7,2,0
Bretzel,Snack,Commun,Petit,5,100,490,9,63,23,3,70
Baguette,Pain,Commun,,250,1190,270,9,57,1,3,95
Pain blanc,Pain,Commun,Tranche,35,130,265,9,51,3,3,75
Pain de mie,Pain,Commun,Tranche,25,96,290,9,53,5,3,85
Brioche,Pain,Commun,Tranche,50,208,370,9,54,13,2,70
Croque-monsieur,PlatPrepare,Commun,Unitaire,180,280,255,11,30,10,2,60
Camembert,Fromage,Commun,Morceau,250,243,300,20,0,24,0,0
Brie,Fromage,Commun,Morceau,100,97,334,20,0,28,0,0
Emmental,Fromage,Commun,Morceau,30,27,380,28,0,29,0,0
Comté,Fromage,Commun,Morceau,30,27,410,27,0,33,0,0
Raclette,Fromage,Commun,Morceau,30,29,350,25,0,27,0,0
Reblochon,Fromage,Commun,Morceau,450,437,330,21,0,26,0,0
Saucisse de Toulouse,Charcuterie,Commun,Unitaire,80,76,300,16,1,27,0,0
Rillettes,Charcuterie,Commun,,20,21,430,14,0,41,0,0
Pâté de campagne,Charcuterie,Commun,,30,29,320,16,0,28,0,0
Filet mignon,Viande,Commun,,150,143,145,21,0,6,0,0
Escalope de veau,Viande,Commun,,120,114,160,20,0,8,0,0
Yaourt aux fruits,Laitage,Commun,Unitaire,125,121,90,4,14,2,0,45
Fromage blanc,Laitage,Commun,Liquide,100,95,80,8,4,4,0,30
Crème dessert,Laitage,Commun,Unitaire,125,116,120,3,17,4,0,60
Purée de pommes de terre,Feculent,Commun,Petit,5,5,110,2,16,5,2,85
Frites,Feculent,Commun,Petit,150,300,310,4,41,15,4,70
Omelette,PlatPrepare,Commun,Unitaire,120,133,154,11,1,12,0,0
Quiche,PlatPrepare,Commun,Unitaire,125,139,290,11,24,18,1,35
Tarte aux pommes,Patisserie,Commun,Unitaire,100,111,260,3,38,11,2,40
Mille-feuilles,Patisserie,Commun,Unitaire,90,150,343,5,32,22,1,50
Éclair au chocolat,Patisserie,Commun,Unitaire,70,140,290,6,39,13,1,50
Crêpes,Patisserie,Commun,Unitaire,60,120,230,6,31,9,1,55
Madeleine,Patisserie,Commun,Unitaire,25,42,450,6,53,23,1,60
Croque Madame,PlatPrepare,Commun,Unitaire,140,250,250,12,23,11,2,60
Jus d'orange,Boisson,Commun,Liquide,200,200.0,45.0,0.7,10.0,0.2,0.2,50
Chèvre bûche,Fromage,Commun,Tranche,100,96.0,334.0,21.0,0.5,27.0,0.0,0
Saint-Nectaire,Fromage,Commun,Part,100,96.0,360.0,22.0,0.5,29.0,0.0,0
Munster,Fromage,Commun,Part,100,96.0,368.0,21.0,1.0,30.0,0.0,0
Roquefort,Fromage,Commun,Part,100,96.0,369.0,21.0,2.0,31.0,0.0,0
Tomme de Savoie,Fromage,Commun,Part,100,96.0,357.0,26.0,0.1,28.0,0.0,0
Steak haché,Viande,Commun,Pièce,125,120.0,250.0,19.0,0.0,20.0,0.0,0
Côtes de porc,Viande,Commun,Pièce,180,170.0,270.0,23.0,0.0,20.0,0.0,0
